,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_passive,2.0,1.0,1.0,1.35
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_subordination,2.85,3.0,3.0,4.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0,0.00556,0.00724
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.0,0.00754,0.00991,0.0122
document-document-token-level/total_token_ratio_subordination,0.0,0.10137,0.17732,0.27331
document-document-token-level/ratio_clitic_per_token,0.0,0.01484,0.01502,0.01771
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0,0.01186,0.0125,0.01771
document-document-token-level/ratio_named_entities_per_token,0.0,0.00535,0.00831,0.00955
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0,0.00278,0.00362
document-document-token-level/ratio_subordination_per_token,0.0,0.02219,0.02752,0.03904
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.37585,0.49458,0.5079,0.54561
document-document-token-level/concrete_ratio,0.12139,0.10203,0.0831,0.07877
document-document-token-level/hapax_legomena_lemma_ratio,0.21486,0.20896,0.25594,0.26586
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.0,0.02935,0.03629
document-document-token-level/ratio_subordination_per_verb,0.0,0.29123,0.4,0.4748
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.01421,0.01767,0.01894,0.02265
document-document-token-level/total_token_ratio_coordination,0.01803,0.01992,0.02071,0.02668
sentence-sentence-sentence-level/parse_depth,2.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_after_verb,1.0,1.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,0.0,1.0,1.0,1.0
sentence-sentence-sentence-level/sentence_length,5.0,6.0,7.0,8.0
document-document-document-level/word_count,44.2,113.4,138.1,210.95
document-document-document-level/sentence_count,2.0,6.0,7.0,9.0
document-document-document-level/lexical_diversity,0.87515,0.95593,0.97165,0.9759
token-token-token-level-high/word_length,1.0,1.0,1.0,1.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors_+freq_cum,1.454,1.38,1.22,0.968
token-token-token-level-high/age_of_acquisition,4.0723,4.0723,4.0723,4.0723
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857,6.92857,6.92857,6.92857
token-token-token-level-low/lexical_frequency,18310.95,18310.95,18310.95,18310.95
