,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.8,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_np_pp_modifiers,3.0,3.0,4.0,4.0
sentence-sentence-token-level/max_size_subordination,6.0,9.0,12.0,15.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.04894,0.04411,0.0405,0.0336
document-document-token-level/total_token_ratio_passive,0.0,0.00638,0.00754,0.00772
document-document-token-level/total_token_ratio_named_entities,0.05638,0.06279,0.05457,0.04508
document-document-token-level/total_token_ratio_subordination,0.22998,0.34491,0.43861,0.48332
document-document-token-level/ratio_clitic_per_token,0.10881,0.08103,0.06416,0.07452
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.00261,0.00315,0.00282
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.08889,0.07731,0.06122,0.07283
document-document-token-level/ratio_named_entities_per_token,0.03571,0.04065,0.03399,0.03011
document-document-token-level/ratio_aux_verbs_per_token,0.02447,0.02206,0.02025,0.01592
document-document-token-level/ratio_subordination_per_token,0.03501,0.06329,0.06824,0.07487
document-document-token-level/ratio_passive_per_token,0.0,0.00302,0.00352,0.00386
document-document-token-level/sophisticated_ratio,0.57773,0.6,0.59842,0.61814
document-document-token-level/concrete_ratio,0.03873,0.0461,0.03928,0.03318
document-document-token-level/hapax_legomena_lemma_ratio,0.51824,0.32369,0.35451,0.36618
document-document-token-level/ratio_aux_verbs_per_verb,0.21333,0.2,0.22174,0.17977
document-document-token-level/ratio_subordination_per_verb,0.66087,0.6,0.66667,0.70756
document-document-token-level/ratio_passive_per_verb,0.0,0.03068,0.03437,0.03871
document-document-token-level/ratio_coordination_per_token,0.03988,0.04167,0.03934,0.03802
document-document-token-level/total_token_ratio_coordination,0.04729,0.05227,0.052,0.05043
sentence-sentence-sentence-level/parse_depth,4.0,5.0,5.0,6.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,11.6,16.0,20.0,24.0
document-document-document-level/word_count,96.6,224.4,274.7,310.7
document-document-document-level/sentence_count,6.0,19.0,17.0,17.0
document-document-document-level/lexical_diversity,0.98218,0.98993,0.99353,0.99501
token-token-token-level-high/word_length,5.0,5.0,5.0,5.0
token-token-token-level-high/word_syllables,2.0,2.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,8.0,6.0,5.0,5.0
token-token-token-level-high/ortho_neighbors_+freq_cum,442.67,343.84,330.07,276.26
token-token-token-level-high/age_of_acquisition,5.03003,5.31479,5.49277,5.5228
token-token-token-level-high/complexity,1.0,2.0,2.0,2.0
token-token-token-level-low/familiarity,5.88,5.99,6.0,6.0
token-token-token-level-low/lexical_frequency,145.133,266.62,209.8,203.314
