,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.0,2.0,2.0,1.0
sentence-sentence-token-level/max_size_passive,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,1.0,2.0
sentence-sentence-token-level/max_size_subordination,3.0,4.0,5.0,6.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.00633,0.01177,0.01444
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.0,0.01462,0.01515,0.01546
document-document-token-level/total_token_ratio_subordination,0.04687,0.15733,0.22632,0.37322
document-document-token-level/ratio_clitic_per_token,0.00556,0.02797,0.02176,0.03441
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0037,0.02273,0.02105,0.03232
document-document-token-level/ratio_named_entities_per_token,0.0,0.01205,0.01187,0.01134
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.00316,0.00588,0.00614
document-document-token-level/ratio_subordination_per_token,0.01081,0.0303,0.03517,0.04687
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.4206,0.52843,0.53826,0.57342
document-document-token-level/concrete_ratio,0.07749,0.08636,0.06997,0.06519
document-document-token-level/hapax_legomena_lemma_ratio,0.23692,0.22945,0.27996,0.29316
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.03226,0.05525,0.05138
document-document-token-level/ratio_subordination_per_verb,0.04348,0.36842,0.47294,0.53788
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.01828,0.02273,0.02261,0.0249
document-document-token-level/total_token_ratio_coordination,0.02619,0.02553,0.027,0.02832
sentence-sentence-sentence-level/parse_depth,3.0,3.0,3.0,4.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/sentence_length,6.0,8.0,9.0,10.0
document-document-document-level/word_count,52.5,139.0,167.25,227.75
document-document-document-level/sentence_count,3.0,9.0,10.0,11.75
document-document-document-level/lexical_diversity,0.91141,0.96484,0.97753,0.98154
token-token-token-level-high/word_length,2.0,2.0,2.0,2.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors_+freq_cum,7.77,5.4575,4.13,3.52
token-token-token-level-high/age_of_acquisition,4.0723,4.0723,4.0723,4.0723
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857,6.92857,6.92857,6.92857
token-token-token-level-low/lexical_frequency,15832.09,15832.09,15832.09,18310.95
