,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
document-sentence-token-level/max_size_passive,0.0,2.0,2.0,2.0
document-sentence-token-level/max_size_named_entities,4.0,5.0,5.0,4.0
document-sentence-token-level/max_size_np_pp_modifiers,13.0,9.0,10.0,9.25
document-sentence-token-level/max_size_subordination,11.0,18.0,28.0,33.0
document-sentence-token-level/max_size_coordination,2.0,3.0,3.0,3.0
document-document-token-level/total_token_ratio_aux_verbs,0.06493846556690233,0.04899135446685879,0.04783290561733676,0.034242106393346496
document-document-token-level/total_token_ratio_passive,0.0,0.00881057268722467,0.008801053172360646,0.008450048575129534
document-document-token-level/total_token_ratio_named_entities,0.20416666666666666,0.1239193083573487,0.10429682952384649,0.0844638412731798
document-document-token-level/total_token_ratio_subordination,0.25214618592102034,0.37349397590361444,0.46272509727822075,0.5096096837944664
document-document-token-level/ratio_clitic_per_token,0.12629797414231905,0.0871559633027523,0.07226105603208198,0.08155080213903743
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.001851851851851852,0.0033444816053511705,0.003670054751089027,0.003079429696309462
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.09948778565799843,0.08490566037735849,0.07226105603208198,0.07757885763000852
document-document-token-level/ratio_named_entities_per_token,0.09390547263681592,0.07432432432432433,0.06274541884816753,0.04682203036021443
document-document-token-level/ratio_aux_verbs_per_token,0.032469232783451166,0.024,0.023716517857142856,0.016784110726206728
document-document-token-level/ratio_subordination_per_token,0.03616088092571855,0.06666666666666667,0.07021944493340374,0.08158681384746413
document-document-token-level/ratio_passive_per_token,0.0,0.004016064257028112,0.003992063492063492,0.004137416968599034
document-document-token-level/sophisticated_ratio,0.577582920320244,0.5435540069686411,0.5139865370231862,0.46724989298599645
document-document-token-level/concrete_ratio,0.4662378402357489,0.5359477124183006,0.5322535324341683,0.5296216799187955
document-document-token-level/hapax_legomena_lemma_ratio,0.5619921546651723,0.38636363636363635,0.3697501429676725,0.3894643847006652
document-document-token-level/ratio_aux_verbs_per_verb,0.2361111111111111,0.2222222222222222,0.25,0.1907114624505929
document-document-token-level/ratio_subordination_per_verb,0.7083333333333333,0.625,0.6941529235382309,0.7322874493927125
document-document-token-level/ratio_passive_per_verb,0.0,0.038461538461538464,0.0449604743083004,0.04375
document-document-token-level/ratio_coordination_per_token,0.04444225463145447,0.04428044280442804,0.041725585505965536,0.0446874451052724
document-document-token-level/total_token_ratio_coordination,0.05090595340811044,0.059375,0.05510976911784332,0.05604400016058453
sentence-sentence-sentence-level/parse_depth,4.0,5.0,6.0,6.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/sentence_length,13.0,17.0,22.0,27.0
document-document-document-level/word_count,109.0,237.0,283.75,312.0
document-document-document-level/sentence_count,9.5,20.0,19.0,18.25
document-document-document-level/lexical_diversity,1.0,0.9918686224489797,0.9954758533598652,0.9963006462301611
token-token-token-level-high/word_length,5.0,6.0,6.0,6.0
token-token-token-level-high/word_syllables,1.0,1.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,15.0,15.0,15.0,15.0
token-token-token-level-high/ortho_neighbors_+freq_cum,35304.45999999999,24555.15,24555.15,24555.15
token-token-token-level-high/age_of_acquisition,5.42185761957731,5.53281423804227,5.53281423804227,5.28364849833148
token-token-token-level-high/complexity,1.0,2.0,2.0,2.0
token-token-token-level-low/familiarity,5.88,5.53571428571429,5.53571428571429,5.53571428571429
token-token-token-level-low/lexical_frequency,1e-10,1e-10,1e-10,1e-10
