,N1,N2,N3,N4
document-sentence-token-level/max_size_aux_verbs,0.0,0.0,0.0,1.1
document-sentence-token-level/max_size_passive,0.0,0.0,0.0,0.0
document-sentence-token-level/max_size_named_entities,1.8,1.0,2.0,2.0
document-sentence-token-level/max_size_np_pp_modifiers,1.0,3.0,4.0,4.0
document-sentence-token-level/max_size_subordination,0.0,6.0,9.0,16.1
document-sentence-token-level/max_size_coordination,0.8,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0,0.0,0.0057366893231379215
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.04677244861161197,0.022564684053190395,0.025236700497241332,0.026050437176165803
document-document-token-level/total_token_ratio_subordination,0.0,0.07026035936927028,0.13742840778923254,0.22599448973429953
document-document-token-level/ratio_clitic_per_token,0.0,0.004830145589494725,0.0071893829412747155,0.013685986817087083
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0,0.0008849557522124019,0.006390147554316257,0.013685986817087083
document-document-token-level/ratio_named_entities_per_token,0.019283870243573916,0.016930217669654288,0.018442415017757483,0.018253610673074516
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0,0.0,0.0028683446615689607
document-document-token-level/ratio_subordination_per_token,0.0,0.017042089375441816,0.022972687967942634,0.03432583319235324
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.2637958532695375,0.2605072463768116,0.29655715571557156,0.30355295624940687
document-document-token-level/concrete_ratio,0.2740754860846359,0.27900884955752214,0.2924408014571949,0.363791874554526
document-document-token-level/hapax_legomena_lemma_ratio,0.09787234042553192,0.10954850064306507,0.15911928845483084,0.18085375094720887
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.0,0.0,0.026625386996904022
document-document-token-level/ratio_subordination_per_verb,0.0,0.24200000000000002,0.35294117647058826,0.4672222222222222
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.011111111111111112,0.013253588516746411,0.015440126883425854,0.019370369075912205
document-document-token-level/total_token_ratio_coordination,0.011483253588516748,0.016539411632607234,0.016726285108638054,0.02469525010508617
sentence-sentence-sentence-level/parse_depth,2.0,2.0,3.0,3.0
sentence-sentence-sentence-level/words_after_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/words_before_verb,0.0,0.0,0.0,0.0
sentence-sentence-sentence-level/sentence_length,4.0,5.0,6.0,6.0
document-document-document-level/word_count,38.4,88.2,113.4,187.0
document-document-document-level/sentence_count,2.0,5.0,6.0,8.1
document-document-document-level/lexical_diversity,0.86570820668693,0.9443812807881773,0.9650189576505366,0.9734680226605693
token-token-token-level-high/word_length,1.0,1.0,1.0,1.0
token-token-token-level-high/word_syllables,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors_+freq_cum,2.58,1.93,1.38,1.22
token-token-token-level-high/age_of_acquisition,3.99777530589544,3.99777530589544,3.99777530589544,3.99777530589544
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857142857143,6.92857142857143,6.92857142857143,6.92857142857143
token-token-token-level-low/lexical_frequency,18310.95,18310.95,19209.05,18310.95
