,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_passive,2.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_subordination,1.0,1.0,1.0,3.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.04145,0.01597,0.01715,0.02105
document-document-token-level/total_token_ratio_subordination,0.0,0.03461,0.07883,0.21025
document-document-token-level/ratio_clitic_per_token,0.0,0.0,0.0,0.00931
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0,0.0,0.0,0.00745
document-document-token-level/ratio_named_entities_per_token,0.01669,0.01161,0.01362,0.01493
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_subordination_per_token,0.0,0.0091,0.01546,0.01942
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.18906,0.2094,0.2595,0.28966
document-document-token-level/concrete_ratio,0.73116,0.71495,0.66634,0.62515
document-document-token-level/hapax_legomena_lemma_ratio,0.0,0.08168,0.12322,0.17342
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_subordination_per_verb,0.0,0.15714,0.28377,0.37225
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.0,0.0095,0.01038,0.01718
document-document-token-level/total_token_ratio_coordination,0.0,0.01066,0.01172,0.01961
sentence-sentence-sentence-level/parse_depth,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_after_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/words_before_verb,0.0,0.0,0.0,0.0
sentence-sentence-sentence-level/sentence_length,3.4,4.0,4.0,4.0
document-document-document-level/word_count,30.8,71.6,90.7,175.4
document-document-document-level/sentence_count,1.9,3.6,4.0,8.0
document-document-document-level/lexical_diversity,0.83242,0.9237,0.95252,0.963
token-token-token-level-high/word_length,1.0,1.0,1.0,1.0
token-token-token-level-high/word_syllables,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors_+freq_cum,0.52,0.32,0.32,0.38
token-token-token-level-high/age_of_acquisition,3.46162,3.46162,3.46162,3.46162
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857,6.92857,6.92857,6.92857
token-token-token-level-low/lexical_frequency,38928.92,38928.92,38928.92,38928.92
