,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,3.2,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,3.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_np_pp_modifiers,5.0,4.0,4.0,5.0
sentence-sentence-token-level/max_size_subordination,8.4,11.0,15.0,19.0
sentence-sentence-token-level/max_size_coordination,2.0,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.07544,0.0523,0.05552,0.03891
document-document-token-level/total_token_ratio_passive,0.0,0.01042,0.01185,0.01119
document-document-token-level/total_token_ratio_named_entities,0.20872,0.1389,0.12345,0.08579
document-document-token-level/total_token_ratio_subordination,0.26375,0.39681,0.47751,0.54682
document-document-token-level/ratio_clitic_per_token,0.1408,0.09474,0.08514,0.09161
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.01286,0.00429,0.00403,0.00315
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.1079,0.09175,0.08232,0.08841
document-document-token-level/ratio_named_entities_per_token,0.10479,0.08148,0.0689,0.04788
document-document-token-level/ratio_aux_verbs_per_token,0.03772,0.02579,0.02676,0.01909
document-document-token-level/ratio_subordination_per_token,0.04308,0.07095,0.07452,0.08452
document-document-token-level/ratio_passive_per_token,0.0,0.00459,0.00532,0.00511
document-document-token-level/sophisticated_ratio,0.6,0.56234,0.53208,0.47512
document-document-token-level/concrete_ratio,0.28639,0.34415,0.3499,0.38214
document-document-token-level/hapax_legomena_lemma_ratio,0.58593,0.40987,0.38762,0.39225
document-document-token-level/ratio_aux_verbs_per_verb,0.3,0.25,0.26821,0.22126
document-document-token-level/ratio_subordination_per_verb,0.75,0.66667,0.72389,0.75343
document-document-token-level/ratio_passive_per_verb,0.0,0.04762,0.05,0.05848
document-document-token-level/ratio_coordination_per_token,0.04896,0.04945,0.04507,0.04668
document-document-token-level/total_token_ratio_coordination,0.05949,0.06242,0.06113,0.06062
sentence-sentence-sentence-level/parse_depth,5.0,5.0,6.0,7.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/sentence_length,15.4,19.0,25.0,31.0
document-document-document-level/word_count,127.0,246.0,292.6,312.0
document-document-document-level/sentence_count,14.6,22.0,20.0,19.0
document-document-document-level/lexical_diversity,1.0,0.99409,0.99668,0.99713
token-token-token-level-high/word_length,6.0,6.0,7.0,7.0
token-token-token-level-high/word_syllables,2.0,2.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,18.0,18.0,18.0,17.0
token-token-token-level-high/ortho_neighbors_+freq_cum,61689.73,35165.0,35229.91,33818.65
token-token-token-level-high/age_of_acquisition,5.7842,5.7842,5.7119,5.63515
token-token-token-level-high/complexity,2.0,2.0,2.0,3.0
token-token-token-level-low/familiarity,5.47,5.28,5.27,5.32
token-token-token-level-low/lexical_frequency,64.05,68.24,50.61,69.53
