,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.0,2.0,1.0,1.0
sentence-sentence-token-level/max_size_passive,2.0,1.0,1.0,2.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,1.0,2.0
sentence-sentence-token-level/max_size_subordination,3.0,4.0,4.0,5.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0,0.00888,0.01298
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.05635,0.04099,0.03911,0.0342
document-document-token-level/total_token_ratio_subordination,0.0201,0.13411,0.20672,0.3174
document-document-token-level/ratio_clitic_per_token,0.0,0.02152,0.01917,0.02895
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0,0.0188,0.0176,0.02895
document-document-token-level/ratio_named_entities_per_token,0.03098,0.02694,0.02439,0.01997
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0,0.00444,0.00498
document-document-token-level/ratio_subordination_per_token,0.00574,0.02577,0.03174,0.04189
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.31183,0.31936,0.34753,0.35146
document-document-token-level/concrete_ratio,0.48526,0.56267,0.5508,0.53848
document-document-token-level/hapax_legomena_lemma_ratio,0.17715,0.16236,0.2,0.20018
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.0,0.04762,0.04589
document-document-token-level/ratio_subordination_per_verb,0.0,0.33333,0.43587,0.50303
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.01591,0.021,0.02077,0.02315
document-document-token-level/total_token_ratio_coordination,0.0218,0.02302,0.02426,0.02802
sentence-sentence-sentence-level/parse_depth,3.0,3.0,3.0,4.0
sentence-sentence-sentence-level/words_after_verb,1.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,0.0,1.0,1.0,1.0
sentence-sentence-sentence-level/sentence_length,6.0,7.0,8.0,9.0
document-document-document-level/word_count,49.0,123.4,156.4,223.0
document-document-document-level/sentence_count,2.6,7.0,9.0,10.2
document-document-document-level/lexical_diversity,0.88231,0.96011,0.97435,0.97743
token-token-token-level-high/word_length,1.0,2.0,2.0,2.0
token-token-token-level-high/word_syllables,0.0,0.0,0.0,1.0
token-token-token-level-high/ortho_neighbors,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors_+freq_cum,20.49,11.98,14.0,14.33
token-token-token-level-high/age_of_acquisition,4.0723,4.0723,4.0723,4.0723
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857,6.92857,6.92857,6.92857
token-token-token-level-low/lexical_frequency,18310.95,18310.95,18310.95,18310.95
