,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,2.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,2.0,2.0,2.0,3.0
sentence-sentence-token-level/max_size_subordination,4.0,6.0,7.0,10.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.01994,0.02404,0.02316
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.00558
document-document-token-level/total_token_ratio_named_entities,0.09389,0.07188,0.06022,0.04745
document-document-token-level/total_token_ratio_subordination,0.12081,0.24007,0.31573,0.42316
document-document-token-level/ratio_clitic_per_token,0.03187,0.05241,0.03987,0.04877
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.03187,0.05112,0.03854,0.0428
document-document-token-level/ratio_named_entities_per_token,0.04926,0.04573,0.03727,0.03054
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.00997,0.01186,0.01126
document-document-token-level/ratio_subordination_per_token,0.02463,0.04111,0.05124,0.06405
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.00279
document-document-token-level/sophisticated_ratio,0.50992,0.42055,0.41225,0.42936
document-document-token-level/concrete_ratio,0.4076,0.47768,0.45859,0.44999
document-document-token-level/hapax_legomena_lemma_ratio,0.42263,0.25988,0.29262,0.2609
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.1,0.12842,0.10282
document-document-token-level/ratio_subordination_per_verb,0.3025,0.48492,0.56007,0.59078
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.02077
document-document-token-level/ratio_coordination_per_token,0.02986,0.0301,0.03018,0.03046
document-document-token-level/total_token_ratio_coordination,0.03412,0.03661,0.03646,0.03408
sentence-sentence-sentence-level/parse_depth,3.0,4.0,4.0,5.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,1.0,1.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,8.0,11.0,13.0,15.0
document-document-document-level/word_count,71.6,177.4,219.3,281.95
document-document-document-level/sentence_count,4.1,14.0,13.0,14.0
document-document-document-level/lexical_diversity,0.95022,0.98006,0.98658,0.98861
token-token-token-level-high/word_length,2.0,3.0,3.0,3.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,6.0,5.0,5.0,5.0
token-token-token-level-high/ortho_neighbors_+freq_cum,442.67,642.86,889.54,486.98
token-token-token-level-high/age_of_acquisition,4.35484,4.71635,4.81646,4.4594
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.75,6.75,6.75,6.75
token-token-token-level-low/lexical_frequency,6501.82,6501.82,6501.82,6198.24
