,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.4,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,2.0,1.0,2.0,2.0
sentence-sentence-token-level/max_size_np_pp_modifiers,2.0,2.0,3.0,3.0
sentence-sentence-token-level/max_size_subordination,5.4,7.0,10.0,12.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.02849,0.03191,0.0329,0.03041
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0051,0.00606
document-document-token-level/total_token_ratio_named_entities,0.03481,0.05022,0.04288,0.03591
document-document-token-level/total_token_ratio_subordination,0.14965,0.3009,0.39684,0.46881
document-document-token-level/ratio_clitic_per_token,0.06735,0.06809,0.05241,0.05514
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.00155
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.06735,0.06473,0.05131,0.05287
document-document-token-level/ratio_named_entities_per_token,0.02211,0.035,0.0278,0.02145
document-document-token-level/ratio_aux_verbs_per_token,0.01425,0.01553,0.01634,0.01492
document-document-token-level/ratio_subordination_per_token,0.03368,0.05314,0.06098,0.07287
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.00255,0.00303
document-document-token-level/sophisticated_ratio,0.53156,0.46104,0.46463,0.45326
document-document-token-level/concrete_ratio,0.07478,0.0846,0.07561,0.06419
document-document-token-level/hapax_legomena_lemma_ratio,0.4943,0.30552,0.33274,0.35512
document-document-token-level/ratio_aux_verbs_per_verb,0.11905,0.15832,0.18182,0.14833
document-document-token-level/ratio_subordination_per_verb,0.48,0.54242,0.62069,0.646
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.02222,0.03087
document-document-token-level/ratio_coordination_per_token,0.03279,0.03642,0.03576,0.03509
document-document-token-level/total_token_ratio_coordination,0.04135,0.04751,0.0458,0.04574
sentence-sentence-sentence-level/parse_depth,4.0,4.0,5.0,5.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,10.0,14.0,17.0,20.0
document-document-document-level/word_count,84.2,202.0,249.6,302.0
document-document-document-level/sentence_count,5.0,16.2,16.0,16.0
document-document-document-level/lexical_diversity,0.95447,0.98592,0.99148,0.99286
token-token-token-level-high/word_length,4.0,4.0,4.0,4.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,5.0,4.0,4.0,4.0
token-token-token-level-high/ortho_neighbors_+freq_cum,151.484,152.26,110.178,97.722
token-token-token-level-high/age_of_acquisition,4.81646,5.03003,5.03448,5.03003
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.196,6.42857,6.43,6.46429
token-token-token-level-low/lexical_frequency,449.774,896.01,790.0,821.55
