,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,3.6,3.0,3.0,3.0
sentence-sentence-token-level/max_size_named_entities,3.0,3.0,3.0,3.0
sentence-sentence-token-level/max_size_np_pp_modifiers,9.0,5.0,6.0,7.0
sentence-sentence-token-level/max_size_subordination,11.0,15.0,20.0,26.0
sentence-sentence-token-level/max_size_coordination,3.0,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.10881,0.08634,0.07546,0.04457
document-document-token-level/total_token_ratio_passive,0.01271,0.01464,0.01699,0.01638
document-document-token-level/total_token_ratio_named_entities,0.19871,0.11988,0.11427,0.08158
document-document-token-level/total_token_ratio_subordination,0.46182,0.46867,0.57668,0.59034
document-document-token-level/ratio_clitic_per_token,0.15882,0.11396,0.1045,0.10571
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.04793,0.00862,0.00887,0.00539
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.12707,0.11299,0.10173,0.10306
document-document-token-level/ratio_named_entities_per_token,0.11,0.06906,0.06089,0.04654
document-document-token-level/ratio_aux_verbs_per_token,0.05244,0.04131,0.037,0.02229
document-document-token-level/ratio_subordination_per_token,0.07124,0.08129,0.08444,0.09068
document-document-token-level/ratio_passive_per_token,0.00635,0.00719,0.00779,0.00819
document-document-token-level/sophisticated_ratio,0.61095,0.64583,0.64561,0.64368
document-document-token-level/concrete_ratio,0.00777,0.03033,0.02647,0.01772
document-document-token-level/hapax_legomena_lemma_ratio,0.58315,0.42937,0.42381,0.39728
document-document-token-level/ratio_aux_verbs_per_verb,0.61333,0.37368,0.35504,0.28022
document-document-token-level/ratio_subordination_per_verb,0.8,0.77018,0.81979,0.84025
document-document-token-level/ratio_passive_per_verb,0.0631,0.08873,0.081,0.09015
document-document-token-level/ratio_coordination_per_token,0.07328,0.05996,0.05401,0.05045
document-document-token-level/total_token_ratio_coordination,0.16028,0.0764,0.07987,0.07391
sentence-sentence-sentence-level/parse_depth,6.0,6.0,7.0,8.0
sentence-sentence-sentence-level/words_after_verb,4.0,4.0,4.0,4.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,4.0,4.0
sentence-sentence-sentence-level/sentence_length,25.2,25.0,32.0,39.0
document-document-document-level/word_count,167.2,291.8,316.3,314.9
document-document-document-level/sentence_count,21.2,27.0,26.0,20.9
document-document-document-level/lexical_diversity,1.0,0.99926,1.0,1.0
token-token-token-level-high/word_length,7.0,8.0,8.0,9.0
token-token-token-level-high/word_syllables,2.0,3.0,3.0,3.0
token-token-token-level-high/ortho_neighbors,19.0,16.0,14.0,13.0
token-token-token-level-high/ortho_neighbors_+freq_cum,35099.88,9567.77,8603.69,5788.67
token-token-token-level-high/age_of_acquisition,6.02781,5.99444,6.02781,6.24772
token-token-token-level-high/complexity,3.0,3.0,4.0,4.0
token-token-token-level-low/familiarity,4.54571,4.64286,4.62,4.52
token-token-token-level-low/lexical_frequency,17.943,25.68,18.24,16.69
