,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,3.4,3.0,3.0,2.0
sentence-sentence-token-level/max_size_named_entities,3.0,3.0,3.0,3.0
sentence-sentence-token-level/max_size_np_pp_modifiers,7.7,4.0,5.0,5.0
sentence-sentence-token-level/max_size_subordination,10.15,13.0,17.0,21.1
sentence-sentence-token-level/max_size_coordination,2.0,2.0,2.0,2.0
document-document-token-level/total_token_ratio_aux_verbs,0.08884,0.05993,0.06461,0.04253
document-document-token-level/total_token_ratio_passive,0.00222,0.01188,0.01422,0.01513
document-document-token-level/total_token_ratio_named_entities,0.2188,0.16171,0.13617,0.10421
document-document-token-level/total_token_ratio_subordination,0.3219,0.41829,0.50488,0.56831
document-document-token-level/ratio_clitic_per_token,0.15384,0.10221,0.0968,0.1035
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.03133,0.00581,0.00505,0.00353
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.113,0.09915,0.09237,0.10187
document-document-token-level/ratio_named_entities_per_token,0.10983,0.08648,0.07171,0.05568
document-document-token-level/ratio_aux_verbs_per_token,0.04442,0.03087,0.03144,0.02057
document-document-token-level/ratio_subordination_per_token,0.05713,0.07433,0.07935,0.08771
document-document-token-level/ratio_passive_per_token,0.00111,0.00547,0.0064,0.00656
document-document-token-level/sophisticated_ratio,0.63468,0.58333,0.55457,0.49131
document-document-token-level/concrete_ratio,0.0316,0.05896,0.0558,0.04341
document-document-token-level/hapax_legomena_lemma_ratio,0.55873,0.4,0.40635,0.3931
document-document-token-level/ratio_aux_verbs_per_verb,0.4425,0.2942,0.31398,0.2285
document-document-token-level/ratio_subordination_per_verb,0.75,0.71587,0.75,0.81324
document-document-token-level/ratio_passive_per_verb,0.01429,0.05725,0.07007,0.07917
document-document-token-level/ratio_coordination_per_token,0.0587,0.05245,0.0504,0.04864
document-document-token-level/total_token_ratio_coordination,0.09603,0.06697,0.06636,0.06173
sentence-sentence-sentence-level/parse_depth,5.0,6.0,6.0,7.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/sentence_length,18.6,22.0,27.0,34.0
document-document-document-level/word_count,146.2,266.2,303.9,314.0
document-document-document-level/sentence_count,18.2,24.2,22.0,19.35
document-document-document-level/lexical_diversity,1.0,0.99635,0.99827,0.99859
token-token-token-level-high/word_length,7.0,7.0,7.0,8.0
token-token-token-level-high/word_syllables,2.0,2.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,14.0,12.0,11.0,10.0
token-token-token-level-high/ortho_neighbors_+freq_cum,6492.31,4239.3,3059.12,1908.46
token-token-token-level-high/age_of_acquisition,5.7842,5.84643,5.88877,5.95357
token-token-token-level-high/complexity,2.0,3.0,3.0,3.0
token-token-token-level-low/familiarity,4.97,5.03571,5.0,4.93
token-token-token-level-low/lexical_frequency,31.22,49.19,37.91,36.55
