,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.6,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_np_pp_modifiers,3.0,3.0,3.0,3.0
sentence-sentence-token-level/max_size_subordination,6.0,8.0,11.0,13.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.03253,0.03779,0.03628,0.03235
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.00644,0.00652
document-document-token-level/total_token_ratio_named_entities,0.173,0.10152,0.08986,0.06186
document-document-token-level/total_token_ratio_subordination,0.19053,0.31915,0.41799,0.4817
document-document-token-level/ratio_clitic_per_token,0.08515,0.07347,0.06051,0.05956
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.00263,0.00279
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.07867,0.07048,0.05576,0.05609
document-document-token-level/ratio_named_entities_per_token,0.07544,0.05963,0.05243,0.04479
document-document-token-level/ratio_aux_verbs_per_token,0.01626,0.01858,0.01814,0.01529
document-document-token-level/ratio_subordination_per_token,0.03459,0.05966,0.0644,0.07336
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.00306,0.00326
document-document-token-level/sophisticated_ratio,0.5511,0.48043,0.481,0.45948
document-document-token-level/concrete_ratio,0.45468,0.51178,0.49415,0.48642
document-document-token-level/hapax_legomena_lemma_ratio,0.53263,0.34093,0.34,0.33205
document-document-token-level/ratio_aux_verbs_per_verb,0.1775,0.17888,0.19365,0.16792
document-document-token-level/ratio_subordination_per_verb,0.60652,0.57066,0.64014,0.65107
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0303,0.03467
document-document-token-level/ratio_coordination_per_token,0.03514,0.03965,0.03731,0.03636
document-document-token-level/total_token_ratio_coordination,0.04382,0.05059,0.04975,0.04745
sentence-sentence-sentence-level/parse_depth,4.0,5.0,5.0,6.0
sentence-sentence-sentence-level/words_after_verb,2.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/sentence_length,11.0,15.0,19.0,22.0
document-document-document-level/word_count,90.9,214.0,260.05,309.15
document-document-document-level/sentence_count,5.7,18.0,17.0,16.15
document-document-document-level/lexical_diversity,0.95517,0.98797,0.99238,0.99386
token-token-token-level-high/word_length,4.0,4.0,5.0,5.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,14.0,12.0,12.0,11.0
token-token-token-level-high/ortho_neighbors_+freq_cum,19149.1,16911.4,16911.4,16911.4
token-token-token-level-high/age_of_acquisition,4.81646,5.03448,5.03448,4.85317
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.01,6.0,6.14,6.07143
token-token-token-level-low/lexical_frequency,353.45,328.45,324.8,266.62
