,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,3.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,3.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_np_pp_modifiers,4.0,3.0,4.0,4.0
sentence-sentence-token-level/max_size_subordination,7.25,10.0,13.0,17.0
sentence-sentence-token-level/max_size_coordination,2.0,1.0,1.0,1.25
document-document-token-level/total_token_ratio_aux_verbs,0.06494,0.04899,0.04783,0.03424
document-document-token-level/total_token_ratio_passive,0.0,0.00881,0.0088,0.00845
document-document-token-level/total_token_ratio_named_entities,0.20417,0.12392,0.1043,0.08446
document-document-token-level/total_token_ratio_subordination,0.25215,0.37349,0.46273,0.50961
document-document-token-level/ratio_clitic_per_token,0.1263,0.08716,0.07226,0.08155
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.00185,0.00334,0.00367,0.00308
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.09949,0.08491,0.07226,0.07758
document-document-token-level/ratio_named_entities_per_token,0.09391,0.07432,0.06275,0.04682
document-document-token-level/ratio_aux_verbs_per_token,0.03247,0.024,0.02372,0.01678
document-document-token-level/ratio_subordination_per_token,0.03616,0.06667,0.07022,0.08159
document-document-token-level/ratio_passive_per_token,0.0,0.00402,0.00399,0.00414
document-document-token-level/sophisticated_ratio,0.57758,0.54355,0.51399,0.46725
document-document-token-level/concrete_ratio,0.46624,0.53595,0.53225,0.52962
document-document-token-level/hapax_legomena_lemma_ratio,0.56199,0.38636,0.36975,0.38946
document-document-token-level/ratio_aux_verbs_per_verb,0.23611,0.22222,0.25,0.19071
document-document-token-level/ratio_subordination_per_verb,0.70833,0.625,0.69415,0.73229
document-document-token-level/ratio_passive_per_verb,0.0,0.03846,0.04496,0.04375
document-document-token-level/ratio_coordination_per_token,0.04444,0.04428,0.04173,0.04469
document-document-token-level/total_token_ratio_coordination,0.05091,0.05938,0.05511,0.05604
sentence-sentence-sentence-level/parse_depth,4.0,5.0,6.0,6.0
sentence-sentence-sentence-level/words_after_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/words_before_verb,3.0,3.0,3.0,3.0
sentence-sentence-sentence-level/sentence_length,13.0,17.0,22.0,27.0
document-document-document-level/word_count,109.0,237.0,283.75,312.0
document-document-document-level/sentence_count,9.5,20.0,19.0,18.25
document-document-document-level/lexical_diversity,1.0,0.99187,0.99548,0.9963
token-token-token-level-high/word_length,5.0,6.0,6.0,6.0
token-token-token-level-high/word_syllables,1.0,1.0,2.0,2.0
token-token-token-level-high/ortho_neighbors,15.0,15.0,15.0,15.0
token-token-token-level-high/ortho_neighbors_+freq_cum,35304.46,24555.15,24555.15,24555.15
token-token-token-level-high/age_of_acquisition,5.42186,5.53281,5.53281,5.28365
token-token-token-level-high/complexity,1.0,2.0,2.0,2.0
token-token-token-level-low/familiarity,5.88,5.53571,5.53571,5.53571
token-token-token-level-low/lexical_frequency,109.6125,101.15,95.0,96.01
