,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_passive,2.0,2.0,2.0,2.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.4,2.0,2.0,2.0
sentence-sentence-token-level/max_size_subordination,4.0,5.0,6.0,8.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0158,0.02165,0.01982
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.00222
document-document-token-level/total_token_ratio_named_entities,0.08418,0.06659,0.05548,0.04478
document-document-token-level/total_token_ratio_subordination,0.11553,0.2192,0.29638,0.41991
document-document-token-level/ratio_clitic_per_token,0.02457,0.04778,0.03384,0.04276
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.02457,0.04538,0.0317,0.04209
document-document-token-level/ratio_named_entities_per_token,0.04705,0.04349,0.03456,0.02712
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0079,0.01074,0.00984
document-document-token-level/ratio_subordination_per_token,0.02352,0.03838,0.04621,0.0555
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.00111
document-document-token-level/sophisticated_ratio,0.50164,0.39082,0.39493,0.42302
document-document-token-level/concrete_ratio,0.0925,0.10761,0.09045,0.07765
document-document-token-level/hapax_legomena_lemma_ratio,0.36288,0.26556,0.30238,0.32288
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.08446,0.11032,0.08436
document-document-token-level/ratio_subordination_per_verb,0.23611,0.46154,0.54167,0.58702
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.00784
document-document-token-level/ratio_coordination_per_token,0.02923,0.02808,0.02764,0.02906
document-document-token-level/total_token_ratio_coordination,0.03301,0.03377,0.03396,0.0322
sentence-sentence-sentence-level/parse_depth,3.0,4.0,4.0,4.0
sentence-sentence-sentence-level/words_after_verb,2.0,2.0,2.0,2.0
sentence-sentence-sentence-level/words_before_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/sentence_length,8.0,10.0,12.0,13.0
document-document-document-level/word_count,62.2,167.8,206.0,266.6
document-document-document-level/sentence_count,4.0,13.0,12.0,14.0
document-document-document-level/lexical_diversity,0.94801,0.97685,0.98515,0.98712
token-token-token-level-high/word_length,2.0,2.0,2.0,2.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,2.0,2.0,2.0,2.0
token-token-token-level-high/ortho_neighbors_+freq_cum,33.142,23.42,18.658,16.218
token-token-token-level-high/age_of_acquisition,4.35484,4.35484,4.70968,4.64167
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.75,6.75,6.75,6.85714
token-token-token-level-low/lexical_frequency,6587.77,6501.82,6501.82,6501.82
