,N1,N2,N3,N4
sentence-sentence-token-level/max_size_aux_verbs,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_passive,2.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_named_entities,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_np_pp_modifiers,1.0,1.0,1.0,1.0
sentence-sentence-token-level/max_size_subordination,1.9,2.0,3.0,3.0
sentence-sentence-token-level/max_size_coordination,1.0,1.0,1.0,1.0
document-document-token-level/total_token_ratio_aux_verbs,0.0,0.0,0.0,0.00574
document-document-token-level/total_token_ratio_passive,0.0,0.0,0.0,0.0
document-document-token-level/total_token_ratio_named_entities,0.0,0.00261,0.00768,0.0105
document-document-token-level/total_token_ratio_subordination,0.0,0.07026,0.13743,0.22599
document-document-token-level/ratio_clitic_per_token,0.0,0.00483,0.00719,0.01369
document-document-token-level/ratio_post_clitic_pronouns_per_token,0.0,0.0,0.0,0.0
document-document-token-level/ratio_pre_clitic_pronouns_per_token,0.0,0.00088,0.00639,0.01369
document-document-token-level/ratio_named_entities_per_token,0.0,0.00261,0.00569,0.00663
document-document-token-level/ratio_aux_verbs_per_token,0.0,0.0,0.0,0.00287
document-document-token-level/ratio_subordination_per_token,0.0,0.01704,0.02297,0.03433
document-document-token-level/ratio_passive_per_token,0.0,0.0,0.0,0.0
document-document-token-level/sophisticated_ratio,0.2638,0.26051,0.29656,0.30355
document-document-token-level/concrete_ratio,0.19532,0.15617,0.13685,0.12834
document-document-token-level/hapax_legomena_lemma_ratio,0.17727,0.19885,0.24022,0.25423
document-document-token-level/ratio_aux_verbs_per_verb,0.0,0.0,0.0,0.02663
document-document-token-level/ratio_subordination_per_verb,0.0,0.242,0.35294,0.46722
document-document-token-level/ratio_passive_per_verb,0.0,0.0,0.0,0.0
document-document-token-level/ratio_coordination_per_token,0.01111,0.01325,0.01544,0.01937
document-document-token-level/total_token_ratio_coordination,0.01148,0.01654,0.01673,0.0247
sentence-sentence-sentence-level/parse_depth,2.0,2.0,3.0,3.0
sentence-sentence-sentence-level/words_after_verb,1.0,1.0,1.0,1.0
sentence-sentence-sentence-level/words_before_verb,0.0,0.0,0.0,0.0
sentence-sentence-sentence-level/sentence_length,4.0,5.0,6.0,6.0
document-document-document-level/word_count,38.4,88.2,113.4,187.0
document-document-document-level/sentence_count,2.0,5.0,6.0,8.1
document-document-document-level/lexical_diversity,0.86571,0.94438,0.96502,0.97347
token-token-token-level-high/word_length,1.0,1.0,1.0,1.0
token-token-token-level-high/word_syllables,1.0,1.0,1.0,1.0
token-token-token-level-high/ortho_neighbors,0.0,0.0,0.0,0.0
token-token-token-level-high/ortho_neighbors_+freq_cum,0.52,0.61,0.52,0.48
token-token-token-level-high/age_of_acquisition,3.96062,3.99778,3.99778,3.99778
token-token-token-level-high/complexity,1.0,1.0,1.0,1.0
token-token-token-level-low/familiarity,6.92857,6.92857,6.92857,6.92857
token-token-token-level-low/lexical_frequency,19209.05,19209.05,19209.05,20879.73
