,N1,N2,N3,N4
sentence-token-level/max_size_aux_verbs,2.1,3.0,3.0,3.0
sentence-token-level/max_size_passive,2.2,3.0,3.0,3.0
sentence-token-level/max_size_named_entities,9.3,8.0,8.0,5.0
sentence-token-level/max_size_np_pp_modifiers,18.0,18.0,19.0,15.9
sentence-token-level/max_size_subordination,26.0,27.8,44.15,51.6
sentence-token-level/max_size_coordination,5.5,5.0,6.0,5.45
document-token-level/total_token_ratio_aux_verbs,0.1435,0.1136,0.0874,0.0599
document-token-level/total_token_ratio_passive,0.0384,0.0209,0.0203,0.0217
document-token-level/total_token_ratio_named_entities,0.2982,0.2599,0.2222,0.1367
document-token-level/total_token_ratio_subordination,0.5424,0.5567,0.6422,0.6658
document-token-level/ratio_clitic_per_token,0.1763,0.1296,0.1203,0.1097
document-token-level/ratio_post_clitic_pronouns_per_token,0.0715,0.0119,0.0114,0.0084
document-token-level/ratio_pre_clitic_pronouns_per_token,0.1605,0.1264,0.1153,0.1097
document-token-level/ratio_named_entities_per_token,0.1291,0.1154,0.0968,0.0803
document-token-level/ratio_aux_verbs_per_token,0.0629,0.0547,0.0417,0.0283
document-token-level/ratio_subordination_per_token,0.0831,0.0896,0.1017,0.1087
document-token-level/ratio_passive_per_token,0.0172,0.0104,0.0099,0.0094
document-token-level/sophisticated_ratio,0.6547,0.6669,0.6642,0.6293
document-token-level/concrete_ratio,0.7312,0.715,0.6663,0.6252
document-token-level/hapax_legomena_lemma_ratio,0.6559,0.512,0.4955,0.5467
document-token-level/ratio_aux_verbs_per_verb,0.7,0.5073,0.4689,0.338
document-token-level/ratio_subordination_per_verb,1.05,0.8452,0.875,0.9312
document-token-level/ratio_passive_per_verb,0.1325,0.125,0.1168,0.1301
document-token-level/ratio_coordination_per_token,0.0799,0.0687,0.0702,0.054
document-token-level/total_token_ratio_coordination,0.1725,0.0904,0.1173,0.0812
sentence-level/parse_depth,8.0,7.0,8.0,9.0
sentence-level/words_after_verb,5.0,4.0,4.0,4.0
sentence-level/words_before_verb,4.0,4.0,4.0,4.0
sentence-level/sentence_length,35.2,32.0,39.0,49.0
document-document-level/word_count,190.5,307.8,335.15,327.35
document-document-level/sentence_count,22.3,31.4,29.0,22.35
document-document-level/lexical_diversity,1.0,1.0,1.0,1.0
token-level-high/word_length,9.0,9.0,10.0,10.0
token-level-high/word_syllables,2.0,3.0,3.0,3.0
token-level-high/ortho_neighbors,46.0,46.0,24.0,19.0
token-level-high/ortho_neighbors_+freq_cum,86631.11,86631.11,86631.11,86631.11
token-level-high/age_of_acquisition,7.0578,6.8109,6.8888,7.2392
token-level-high/complexity,4.0,4.0,4.0,4.0
token-level-low/familiarity,4.3929,4.13,4.04,4.04
token-level-low/lexical_frequency,0.0,0.0,0.0,0.0
